COUNTY	CASES	DEATHS	RECOVERED
Porter-Indiana	6	0	0
Posey-Indiana	1	0	0
Pulaski-Indiana	0	0	0
Putnam-Indiana	2	1	0
Randolph-Indiana	0	0	0
Ripley-Indiana	14	0	0
Rush-Indiana	3	0	0
St Joseph-Indiana	0	0	0
Scott-Indiana	1	1	0
Shelby-Indiana	6	0	0
Spencer-Indiana	0	0	0
Starke-Indiana	1	0	0
Steuben-Indiana	0	0	0
Sullivan-Indiana	1	0	0
Switzerland-Indiana	0	0	0
Tippecanoe-Indiana	8	1	0
Tipton-Indiana	2	0	0
Union-Indiana	0	0	0
Vanderburgh-Indiana	6	0	0
Vermillion-Indiana	0	0	0
Vigo-Indiana	3	0	0
Wabash-Indiana	1	0	0
Warren-Indiana	1	0	0
Warrick-Indiana	3	0	0
Washington-Indiana	4	0	0
Wayne-Indiana	1	0	0
Wells-Indiana	1	0	0
White-Indiana	0	0	0
Whitley-Indiana	0	0	0
Adair-Iowa	1	0	0
Adams-Iowa	0	0	0
Allamakee-Iowa	7	1	0
Appanoose-Iowa	1	0	0
Audubon-Iowa	0	0	0
Benton-Iowa	3	0	0
Black Hawk-Iowa	7	0	0
Boone-Iowa	0	0	0
Bremer-Iowa	0	0	0
Buchanan-Iowa	1	0	0
Buena Vista-Iowa	0	0	0
Butler-Iowa	1	0	0
Calhoun-Iowa	0	0	0
Carroll-Iowa	1	0	0
Cass-Iowa	0	0	0
Cedar-Iowa	5	0	0
Cerro Gordo-Iowa	3	0	0
Cherokee-Iowa	0	0	0
Chickasaw-Iowa	0	0	0
Clarke-Iowa	0	0	0
Clay-Iowa	0	0	0
Clayton-Iowa	1	0	0
Clinton-Iowa	1	0	0
Crawford-Iowa	0	0	0
Dallas-Iowa	9	0	0
Davis-Iowa	0	0	0
Decatur-Iowa	0	0	0
Delaware-Iowa	0	0	0
Des Moines-Iowa	1	0	0
Dickinson-Iowa	1	0	0
Dubuque-Iowa	8	1	0
Emmet-Iowa	0	0	0
Fayette-Iowa	1	0	0
Floyd-Iowa	0	0	0
Franklin-Iowa	0	0	0
Fremont-Iowa	0	0	0
Greene-Iowa	0	0	0
Grundy-Iowa	0	0	0
Guthrie-Iowa	0	0	0
Hamilton-Iowa	0	0	0
Hancock-Iowa	3	0	0
Hardin-Iowa	1	0	0
Harrison-Iowa	7	0	0
Henry-Iowa	2	0	0
Howard-Iowa	0	0	0
Humboldt-Iowa	0	0	0
Ida-Iowa	0	0	0
Iowa-Iowa	1	0	0
Jackson-Iowa	0	0	0
Jasper-Iowa	2	0	0
Jefferson-Iowa	0	0	0
Johnson-Iowa	58	0	0
Jones-Iowa	0	0	0
Keokuk-Iowa	0	0	0
Kossuth-Iowa	1	0	0
Lee-Iowa	0	0	0
Linn-Iowa	22	0	0
Louisa-Iowa	0	0	0
Lucas-Iowa	0	0	0
Lyon-Iowa	0	0	0
Madison-Iowa	0	0	0
Mahaska-Iowa	2	0	0
Marion-Iowa	0	0	0
Marshall-Iowa	1	0	0
Mills-Iowa	0	0	0
Mitchell-Iowa	0	0	0
Monona-Iowa	2	0	0
Monroe-Iowa	0	0	0
Montgomery-Iowa	1	0	0
Muscatine-Iowa	7	0	0
O Brien-Iowa	0	0	0
Osceola-Iowa	0	0	0
Page-Iowa	2	0	0
Palo Alto-Iowa	0	0	0
Plymouth-Iowa	0	0	0
Pocahontas-Iowa	0	0	0
Polk-Iowa	28	0	0
Pottawattamie-Iowa	3	0	0
Poweshiek-Iowa	4	1	0
Ringgold-Iowa	0	0	0
Sac-Iowa	0	0	0
Scott-Iowa	7	0	0
Shelby-Iowa	0	0	0
Sioux-Iowa	2	0	0
